Date,Open,High,Low,Close,Adj Close,Volume
2020-09-02,30.400000,31.299999,30.139999,31.139999,31.139999,16307700
2020-09-03,31.629999,32.529999,30.469999,31.219999,31.219999,29474900
2020-09-04,31.790001,32.369999,30.610001,31.770000,31.770000,25878700
2020-09-08,31.400000,33.099998,31.340000,32.540001,32.540001,28129400
2020-09-09,32.169998,32.439999,31.320000,31.760000,31.760000,19362700
2020-09-10,32.180000,32.709999,31.670000,31.790001,31.790001,17711300
2020-09-11,31.809999,32.130001,31.340000,31.700001,31.700001,14344100
2020-09-14,32.290001,32.900002,32.009998,32.820000,32.820000,16333000
2020-09-15,33.200001,34.480000,33.099998,33.509998,33.509998,22656400
2020-09-16,33.799999,34.990002,33.189999,34.570000,34.570000,26009000
2020-09-17,33.970001,35.070000,33.639999,33.959999,33.959999,26014800
2020-09-18,33.220001,34.020000,32.580002,32.840000,32.840000,35079200
2020-09-21,31.160000,31.200001,29.420000,29.820000,29.820000,34449900
2020-09-22,29.809999,30.540001,29.719999,30.219999,30.219999,18035300
2020-09-23,30.440001,31.030001,29.490000,29.559999,29.559999,17358100
2020-09-24,29.120001,29.510000,27.920000,29.010000,29.010000,22257800
2020-09-25,28.820000,29.790001,28.780001,29.780001,29.780001,21831500
2020-09-28,30.600000,31.959999,30.139999,31.340000,31.340000,22098400
2020-09-29,31.100000,31.110001,30.299999,30.610001,30.610001,14785600
2020-09-30,30.990000,31.850000,30.480000,30.580000,30.580000,16664100
2020-10-01,30.990000,31.360001,30.580000,31.100000,31.100000,12501900
2020-10-02,29.750000,32.299999,29.610001,31.750000,31.750000,27126000
2020-10-05,32.349998,32.430000,31.520000,32.000000,32.000000,14807100
2020-10-06,32.630001,32.720001,30.910000,31.059999,31.059999,20317100
2020-10-07,32.220001,32.360001,31.639999,32.150002,32.150002,15416600
2020-10-08,32.689999,33.000000,31.920000,32.680000,32.680000,18123800
2020-10-09,32.709999,33.270000,32.290001,32.810001,32.810001,16730600
