Date,Open,High,Low,Close,Volume,Amplitude,Daily Change,Daily Change %,Year
01-02,235.4392106947059,240.4451041817098,235.41049742922849,239.459228515625,126925200,5.034606752481324,4.020017820919094,1.71,2019
01-03,237.59277955392207,237.91822088545382,233.2281881936798,233.74505615234375,144140700,4.690032691774007,-3.847723401578321,-1.62,2019
01-04,236.98018179367654,242.26364088062783,236.57818153558114,241.57449340820312,142628800,5.685459345046695,4.594311614526589,1.94,2019
01-07,241.86168117845273,244.981977764934,240.9045333734677,243.47926330566406,103139100,4.077444391466287,1.6175821272113353,0.67,2019
01-08,245.81472062206598,246.2837137267129,243.11555664423815,245.766845703125,102512600,3.1681570824747496,-0.04787491894097684,-0.02,2019
01-09,246.52298642682496,247.81514180610665,245.21169860697478,246.91542053222656,95006600,2.603443199131874,0.3924341054016054,0.16,2019
01-10,245.27868510731494,248.05440766503858,244.5512434899057,247.78640747070312,96823900,3.503164175132895,2.507722363388183,1.02,2019
01-11,246.63781629855066,247.9108391175615,246.015676125495,247.8821258544922,73858100,1.8951629920665027,1.244309555941527,0.5,2019
01-14,245.85297452878564,247.23126972359336,245.42227553655405,246.36984252929688,70908200,1.8089941870393034,0.5168680005112378,0.21,2019
01-15,246.77186801290523,249.52845852034474,246.76228718716834,249.19345092773438,85208300,2.766171333176402,2.421582914829145,0.98,2019
01-16,249.6528369634964,250.7439994287581,249.43271167336331,249.7964324951172,77636700,1.3112877553947726,0.14359553162077532,0.06,2019
01-17,248.86803582383982,252.6104876330233,248.8201609027464,251.6916046142578,96118400,3.790326730276888,2.823568790417994,1.13,2019
01-18,253.6250505785959,255.53934629950356,251.72988729935685,255.04161071777344,127900300,3.809459000146717,1.416560139177534,0.56,2019
01-22,253.47188642470468,253.70159254866857,249.8730013634961,251.59585571289062,115531200,3.8285911851724848,-1.8760307118140531,-0.74,2019
01-23,252.69660899547807,253.44318313758697,249.49015790968755,252.122314453125,86030300,3.953025227899417,-0.5742945423530728,-0.23,2019
01-24,251.93084464082634,252.8784407517212,250.8492630374783,252.2562713623047,59204100,2.0291777142429055,0.32542672147835106,0.13,2019
01-25,254.22803433720534,255.27135123085978,252.3616134974653,254.39076232910156,96883400,2.909737733394479,0.16272799189621878,0.06,2019
01-28,252.1031963805989,252.52431457850338,250.57175391698402,252.45733642578125,85613700,1.9525606615193567,0.354140045182362,0.14,2019
01-29,252.6104691956002,253.21344779474546,251.23217397788625,252.122314453125,66136300,1.9812738168592148,-0.48815474247518864,-0.19,2019
01-30,253.73987865991322,257.0133076627899,252.92629721668223,256.11358642578125,92473700,4.087010446107655,2.3737077658680334,0.94,2019
01-31,256.0466335735802,258.8797830626155,255.81689822431517,258.3629150390625,104012100,3.0628848383003344,2.316281465482291,0.9,2019
02-01,258.5734750027893,259.57849772908514,257.645040458792,258.4873352050781,85782500,1.933457270293161,-0.0861397977111551,-0.03,2019
02-04,258.53514861645584,260.37288503422957,257.8172878487024,260.3058776855469,60744800,2.5555971855271764,1.7707290690910327,0.68,2019
02-05,260.7653431698527,261.72249094856755,260.229342750559,261.3970642089844,79552800,1.493148198008555,0.6317210391316621,0.24,2019
02-06,261.10033462867875,261.62675419056745,260.26762078613507,261.0524597167969,58347800,1.3591334044323844,-0.04787491188187687,-0.02,2019
02-07,259.3296715305057,259.9135177674354,256.7932352695599,258.56396484375,95482000,3.1202824978755075,-0.7657066867557205,-0.3,2019
02-08,257.23346539526455,258.98503297707174,256.35287658698064,258.8797607421875,75788900,2.6321563900910974,1.6462953469229546,0.64,2019
02-11,259.5784774736161,259.8560292857496,258.4586017710917,259.0233154296875,68021400,1.3974275146579203,-0.5551620439285898,-0.21,2019
02-12,260.74624656798267,262.75623381168,260.66965837765287,262.354248046875,72270200,2.086575434027111,1.6080014788923336,0.62,2019
02-13,263.24434877687287,264.1057759238559,262.79448815869495,263.2060546875,65277200,1.3112877651609551,-0.03829408937286871,-0.01,2019
02-14,262.047897916947,263.828207840147,261.1768899988532,262.6221923828125,83234400,2.651317841293803,0.5742944658654778,0.22,2019
02-15,264.51731083190424,265.5223333914358,264.29718556644576,265.4840393066406,97088700,1.2251478249900174,0.9667284747363851,0.37,2019
02-19,264.6322242003087,266.64221113603867,264.6226433755264,265.9435119628906,59120800,2.0195677605122455,1.3112877625819124,0.5,2019
02-20,265.90522818267647,266.96767743059445,265.369227751057,266.4795227050781,76610800,1.5984496795374525,0.574294522401658,0.22,2019
02-21,265.79998266462525,266.1828359814348,264.5078271617869,265.531982421875,64214700,1.6750088196478714,-0.26800024275024725,-0.1,2019
02-22,266.19236289004516,267.3887976501705,265.5127961250472,267.1782531738281,78114600,1.8760015251232858,0.9858902837829646,0.37,2019
02-25,268.7001316218115,269.2552645331776,267.45582186694276,267.5419616699219,69030700,1.7994426662348246,-1.158169951889647,-0.43,2019
02-26,267.1686949841882,268.2885416570369,266.9485404541329,267.3505554199219,56844100,1.3400012029039772,0.18186043573365396,0.07,2019
02-27,266.5847131987411,267.6088680418371,265.5893008222929,267.235595703125,56921600,2.0195672195442285,0.650882504383901,0.24,2019
02-28,267.0058541312073,267.4748762613514,266.39329493015765,266.73785400390625,69268300,1.0815813311937745,-0.2680001273010362,-0.1,2019
03-01,268.4225443066167,268.84369169570243,266.87196946945306,268.4034118652344,78880500,1.9717222262493692,-0.019132441382339493,-0.01,2019
03-04,269.53283038150784,269.7912497758602,264.9767974377411,267.4270935058594,106494600,4.814452338119111,-2.1057368756484607,-0.78,2019
