Submission Date,Open,High,Low,Close,Volume,Amplitude,Daily Change,Daily Change %,Ticker,Total Cases,Daily New Cases,Total Deaths,Daily New Deaths
2020-01-22,102.29168420110638,102.53563078704167,102.05749011845401,102.19410705566406,9431500,0.47814066858765614,-0.09757714544231533,-0.1,XLV,33,33,0,0
2020-01-23,102.01847977213,102.1648417888471,100.97438853314102,101.67694854736328,8522600,1.1904532557060747,-0.3415312247667117,-0.33,XLV,35,2,0,0
2020-01-24,101.79403585077073,101.84282814810751,99.72536602503634,99.97907257080078,15962700,2.117462123071178,-1.8149632799699447,-1.78,XLV,36,1,0,0
2020-01-27,98.76909571452627,99.59851262457563,98.63248622085504,99.21795654296875,11762300,0.9660264037205906,0.4488608284424771,0.45,XLV,43,1,0,0
2020-01-28,99.5107020178305,100.0961723787251,99.23747556773077,99.70585632324219,8079900,0.8586968109943314,0.1951543054116911,0.2,XLV,44,1,0,0
2020-01-29,99.80342858626864,100.15471227452683,99.4131125499085,99.43263244628906,6435700,0.7415997246183252,-0.37079613997957495,-0.37,XLV,45,1,0,0
2020-01-30,98.70079608174578,98.76910083212051,97.86161918019359,98.71055603027344,10989400,0.9074816519269291,0.009759948527658935,0.01,XLV,47,2,0,0
2020-01-31,98.32024046576167,98.39829772038995,96.41745250508497,96.73946380615234,14476700,1.9808452153049814,-1.5807766596093273,-1.61,XLV,51,4,0,0
2020-02-03,97.41276913678436,98.32025088939959,97.41276913678436,97.61768341064453,11850600,0.9074817526152259,0.2049142738601688,0.21,XLV,545,29,187,0
2020-02-04,98.83739937182702,99.73512101881596,98.81787947599828,99.33505249023438,9575100,0.9172415428176777,0.4976531184073565,0.5,XLV,553,8,187,0
2020-02-05,99.8034371451347,101.5988880885005,99.79367719610742,101.24760437011719,14131000,1.8052108923930774,1.4441672249824933,1.45,XLV,558,5,187,0
2020-02-06,101.7159748111758,101.7159748111758,100.89631778798567,101.33541870117188,6166500,0.8196570231901319,-0.38055611000392275,-0.37,XLV,560,2,187,0
2020-02-07,101.34516552384461,101.43298271724404,100.38889167598504,100.5450210571289,6057200,1.0440910412590085,-0.8001444667157074,-0.79,XLV,565,5,187,0
2020-02-10,100.17425172121537,101.08172607421875,100.09618700977616,101.08172607421875,4010100,0.985539064442591,0.90747435300338,0.91,XLV,617,9,188,0
2020-02-11,101.43299236740755,101.7745235599878,101.228078118655,101.68669891357422,10277100,0.5464454413327928,0.25370654616666855,0.25,XLV,628,11,188,0
2020-02-12,102.06725176515057,102.30143840704162,101.40371674257668,101.81354522705078,4705700,0.8977216644649388,-0.2537065380997916,-0.25,XLV,638,10,188,0
2020-02-13,101.44275580344576,101.75500716151718,101.13050444537434,101.33541870117188,4778500,0.6245027161428425,-0.10733710227388826,-0.11,XLV,644,6,188,0
2020-02-14,101.44274743579764,101.48177978291939,100.91582191664264,101.4134750366211,5114200,0.5659578662767473,-0.029272399176548447,-0.03,XLV,652,8,188,0
2020-02-18,101.41348047535767,101.54033002681193,100.72067302727471,101.05243682861328,8409300,0.8196569995372158,-0.3610436467443918,-0.36,XLV,695,7,188,0
2020-02-19,101.31589874765405,101.66718243006041,101.21832160135429,101.52081298828125,6427900,0.4488608287061169,0.20491424062720398,0.2,XLV,712,17,189,1
2020-02-20,101.286630990015,101.38420814078654,99.94980094600074,100.8670425415039,8080900,1.4344071947858055,-0.41958844851109234,-0.41,XLV,726,14,189,0
2020-02-21,100.47672205628913,101.0231600322043,100.12543837329821,100.92558288574219,6510800,0.897721658906093,0.4488608294530536,0.45,XLV,745,19,189,0
2020-02-24,98.48612184469889,99.14965689579846,97.27614879080889,97.74452209472656,16284500,1.8735081049895683,-0.7415997499723233,-0.75,XLV,814,19,189,0
2020-02-25,98.095804799465,98.31047899685673,94.44636577778357,94.77812957763672,20301600,3.864113219073161,-3.3176752218282815,-3.38,XLV,838,24,189,0
2020-02-26,95.30506494495101,96.4272209003663,94.56347257073476,94.76838684082031,13721600,1.8637483296315338,-0.5366781041307007,-0.56,XLV,882,44,189,0
2020-02-27,93.74380599837511,94.98305154125418,91.528773984213,91.54828643798828,22047900,3.4542775570411806,-2.1955195603868276,-2.34,XLV,919,37,190,1
2020-02-28,89.1380987358224,90.41638416266255,87.80127594366823,90.36759185791016,27750600,2.6151082189943224,1.22949312208776,1.38,XLV,970,51,190,0
2020-03-02,90.39684878152397,94.74885510126775,90.08459744070205,94.60248565673828,22359400,4.664257660565696,4.20563687521431,4.65,XLV,1175,79,197,6
