Submission Date,Open,High,Low,Close,Volume,Amplitude,Daily Change,Daily Change %,Ticker,Total Cases,Daily New Cases,Total Deaths,Daily New Deaths
2020-03-04,298.5503020251495,305.3577122608297,295.82928442739245,305.1236267089844,176613400,9.528427833437263,6.573324683834869,2.2,SPY,1489,143,202,2
2020-03-05,297.43850929537945,300.8421995549829,292.5914055474934,294.9808044433594,186366800,8.250794007489503,-2.457704852020072,-0.83,SPY,1656,167,205,3
2020-03-06,285.90104084879493,291.39182812320394,283.0532626783845,290.1044616699219,228667200,8.338565444819437,4.20342082112694,1.47,SPY,1872,216,209,4
2020-03-09,268.492432237462,277.16261662330606,266.6882024275362,267.44891357421875,309417300,10.474414195769839,-1.043518663243276,-0.39,SPY,3090,600,223,4
2020-03-10,277.6014670083577,281.38549778517665,266.7369214428988,281.2879943847656,276444100,14.648576342277863,3.6865273764079234,1.33,SPY,3763,673,229,6
2020-03-11,273.758935928018,274.9682640091057,264.18175516929153,267.57568359375,255316300,10.78650883981419,-6.183252334267991,-2.26,SPY,4627,864,243,14
2020-03-12,249.66967400090172,260.06607884139885,241.55540245276575,241.9747772216797,392220700,18.5106763886331,-7.694896779222034,-3.08,SPY,5774,1147,250,7
2020-03-13,256.58438229563063,264.76693106596025,242.37467281903318,262.66033935546875,329566100,22.39225824692707,6.075957059838117,2.37,SPY,7119,1345,261,11
2020-03-16,235.21613576084084,250.54741552524558,231.490603794865,233.91903686523438,297240000,19.056811730380588,-1.2970988956064673,-0.55,SPY,14742,2917,316,21
2020-03-17,238.98067634934978,249.83547480715055,231.20777115893475,246.54879760742188,262070500,18.6277036482158,7.568121258072097,3.17,SPY,18764,4022,348,32
2020-03-18,230.40805220603943,242.22834624920506,222.38156634256302,234.06532287597656,327597100,19.84677990664204,3.657270669937134,1.59,SPY,24854,6090,419,71
2020-03-19,233.33387599706967,241.26284381810098,226.4777135584991,234.56271362304688,289322000,14.785130259601885,1.2288376259772065,0.53,SPY,32039,7185,484,65
2020-03-20,237.92364496010447,239.826801082704,224.16011688045532,224.4544219970703,347158800,15.666684202248689,-13.469222963034156,-5.66,SPY,40311,8272,586,102
2020-03-23,223.85601299878326,225.3177040006051,214.11460469212452,218.7155303955078,326025200,11.203099308480574,-5.140482603275444,-2.3,SPY,73379,11415,1007,171
2020-03-24,229.9676729198424,239.46382903257478,229.3594533334805,238.5318603515625,235494500,10.104375699094277,8.564187431720086,3.72,SPY,85608,12229,1241,234
2020-03-25,240.21920557699968,251.48117794658793,235.19645397764472,242.1027374267578,299430300,16.28472396894321,1.8835318497581284,0.78,SPY,100464,14856,1553,312
2020-03-26,244.78090362795456,257.8086621669641,244.3198290786598,256.23907470703125,257632800,13.48883308830429,11.458171079076692,4.68,SPY,119910,19446,1906,353
2020-03-27,248.45965119980093,255.85643751605994,246.28181442618262,248.60679626464844,224341200,9.57462308987732,0.147145064847507,0.06,SPY,140607,20697,2410,504
2020-03-30,250.8434921781517,257.44566523559473,248.7147087396888,256.68048095703125,171369500,8.730956495905929,5.836988778879544,2.33,SPY,204520,21727,4320,785
2020-03-31,255.6112113367011,258.32859026596213,251.35364405269925,252.85458374023438,194881100,6.974946213262882,-2.7566275964667284,-1.08,SPY,227644,23124,5330,1010
2020-04-01,243.27012876564996,252.76628497690646,239.26761812807703,241.47488403320312,189554600,13.49866684882943,-1.7952447324468324,-0.74,SPY,256277,28633,6470,1140
2020-04-02,240.53311112410248,247.88084404724194,239.94450093064017,247.0469970703125,177660400,7.936343116601762,6.513885946210024,2.71,SPY,286513,30236,7819,1349
2020-04-03,245.9973309340812,248.50872164244254,240.5625582764185,243.4761505126953,135561200,7.946163366024024,-2.5211804213858784,-1.02,SPY,318258,31745,9213,1394
2020-04-06,252.94283996469383,261.92886763025683,243.45650412057958,259.8294982910156,188061200,18.47236350967725,6.886658326321793,2.72,SPY,406598,28541,14460,1741
2020-04-07,269.00195282495207,269.80638584497115,259.85898925908833,260.09442138671875,201427200,9.947396585882814,-8.90753143823332,-3.31,SPY,436730,30132,16591,2131
2020-04-08,262.8706580471995,270.7579636312611,260.21213714924636,268.82537841796875,153774500,10.545826482014718,5.954720370769223,2.27,SPY,470181,33451,18815,2224
2020-04-09,272.3079491548729,275.85922015486074,270.2380384566057,272.91619873046875,189999200,5.621181698255043,0.6082495755958348,0.22,SPY,505025,34844,21057,2242
2020-04-13,271.87630917582237,272.239276995542,266.25512798163066,270.4244079589844,114839100,5.984149013911349,-1.451901216837996,-0.53,SPY,622159,25232,29391,1966
2020-04-14,275.6433665325658,279.48889733140317,270.27725687188524,278.3999938964844,134143400,9.211640459517923,2.7566273639185965,1.0,SPY,647647,25488,31912,2521
2020-04-15,272.29813385349087,278.5471439673248,270.2281934117733,272.4845275878906,121775000,8.31895055555151,0.1863937343997577,0.07,SPY,673316,25669,34604,2692
2020-04-16,273.8481411657386,274.7114322516927,270.52254248003186,273.7991027832031,131798300,4.188889771660854,-0.049038382535457004,-0.02,SPY,704834,31518,37039,2435
2020-04-17,279.9597834120126,281.843300093228,277.036371764303,281.19586181640625,146684800,4.8069283289249825,1.236078404393652,0.44,SPY,735111,30277,39357,2318
2020-04-20,277.24240725420157,281.3430397603875,276.00635864330656,276.2417907714844,100109300,5.336681117080957,-1.0006164827171915,-0.36,SPY,816776,26252,45456,2156
