Submission Date,Open,High,Low,Close,Volume,Amplitude,Daily Change,Daily Change %,Ticker,Total Cases,Daily New Cases,Total Deaths,Daily New Deaths
2020-04-29,22.828763127734593,23.062704114400642,22.594822141068548,22.789772033691406,70064400,0.46788197333209425,-0.03899109404318679,-0.17,XLF,1076422,28832,63916,2389
2020-04-30,22.33163592028829,22.575324659583618,22.107442726343994,22.21466636657715,56745700,0.46788193323962446,-0.11696955371114015,-0.52,XLF,1108355,31933,66148,2232
2020-05-01,21.688299604705012,21.746784386434484,21.35688274290854,21.503095626831055,37534300,0.3899016435259455,-0.18520397787395737,-0.85,XLF,1138334,29979,68036,1888
2020-05-04,21.220417421749406,21.337386984046805,20.89874833663505,21.30814552307129,50177200,0.4386386474117536,0.08772810132188269,0.41,XLF,1215689,21140,72399,1341
2020-05-05,21.600570336677833,21.717541753021237,21.23991203308105,21.239912033081055,65123000,0.477629719940186,-0.36065830359677875,-1.67,XLF,1239190,23501,74842,2443
2020-05-06,21.434862356540616,21.493347136319016,20.762280881897315,20.781776428222656,63738400,0.7310662544217017,-0.6530859283179602,-3.05,XLF,1263610,24420,77136,2294
2020-05-07,21.054711942610265,21.62006986412415,21.054711942610265,21.26915740966797,61339000,0.5653579215138862,0.21444546705770406,1.02,XLF,1295293,31683,79237,2101
2020-05-08,21.678552238822036,21.75653256899343,21.454359021979,21.727291107177734,42218300,0.30217354701443,0.04873886835569863,0.22,XLF,1324233,28940,80876,1639
2020-05-11,21.42511508536869,21.493347639908453,21.19117410157622,21.30814552307129,54994900,0.3021735383322337,-0.11696956229740252,-0.55,XLF,1390738,19340,84623,1154
2020-05-12,21.395874984815993,21.473855317705073,20.733041225659925,20.75253677368164,62202700,0.7408140920451487,-0.6433382111343526,-3.01,XLF,1415367,24629,86165,1542
2020-05-13,20.577079694519608,20.606321156124654,19.98247851924751,20.138439178466797,86848300,0.6238426368771428,-0.4386405160528106,-2.13,XLF,1438947,23580,87813,1648
2020-05-14,19.78752656475503,20.674553502259364,19.582828898806813,20.655059814453125,103763100,1.0917246034525512,0.867533249698095,4.38,XLF,1468752,29805,89593,1780
2020-05-15,20.460109954599538,20.6940509626844,20.27490595933316,20.51859474182129,70285000,0.4191450033512396,0.05848478722175088,0.29,XLF,1496452,27700,91104,1511
2020-05-18,21.278901454812075,21.73703563289968,21.132688577481783,21.571327209472656,79548500,0.6043470554178967,0.29242575466058085,1.37,XLF,1566889,25156,94303,1041
2020-05-19,21.444613299423345,21.55183696086379,21.035216062066436,21.044963836669922,56673200,0.5166208987973526,-0.3996494627534233,-1.86,XLF,1588286,21397,95511,1208
2020-05-20,21.395874518507902,21.639563285874974,21.37637897091108,21.51284408569336,50402600,0.26318431496389394,0.11696956718545692,0.55,XLF,1613695,25409,96817,1306
2020-05-21,21.444610595703125,21.6493082589745,21.327639174406862,21.444610595703125,49939900,0.3216690845676382,0.0,0.0,XLF,1640915,27220,97895,1078
2020-05-22,21.43486310953727,21.46410643005259,21.152185114679966,21.36663055419922,37584500,0.31192131537262213,-0.06823255533805295,-0.32,XLF,1667275,26360,99699,1804
2020-05-26,22.1756783101784,22.7117928663058,22.156182762159787,22.47785186767578,108349200,0.5556101041460124,0.3021735574973796,1.36,XLF,1743814,15949,103097,903
2020-05-27,23.481851431982737,23.491599206470145,22.94573684956036,23.452608108520508,121521200,0.5458623569097831,-0.029243323462228688,-0.12,XLF,1765740,21926,104412,1315
2020-05-28,23.715787526094118,23.725535298560935,23.01396464126084,23.082197189331055,101590100,0.7115706573000935,-0.6335903367630635,-2.67,XLF,1791652,25912,105573,1161
2020-05-29,22.809271542423076,23.023718878512277,22.58507829032802,22.819019317626953,86969000,0.43864058818425633,0.00974777520387704,0.04,XLF,1816498,24846,106578,1005
2020-06-01,22.90674100332336,23.189420827268535,22.7507803622493,23.082197189331055,52619200,0.43864046501923326,0.1754561860076933,0.77,XLF,1877897,16987,108899,730
2020-06-02,23.286898244866205,23.43311299409011,23.101696118458715,23.267404556274414,52572800,0.331416875631394,-0.01949368859179046,-0.08,XLF,1899218,21321,109826,927
2020-06-03,23.78402296437048,24.24215902999549,23.725538181660077,24.13493537902832,77622900,0.516620848335414,0.3509124146578415,1.48,XLF,1922192,22974,110850,1024
2020-06-04,24.09594656302026,24.661304473876953,23.900996649151203,24.661304473876953,97575100,0.76030782472575,0.5653579108566937,2.35,XLF,1945382,23190,111708,858
2020-06-05,26.103942426268624,26.15267943792362,25.48984566790787,25.577573776245117,135859300,0.6628337700157516,-0.5263686500235067,-2.02,XLF,1970928,25546,112564,856
2020-06-08,25.996714579297873,26.123431904694566,25.704288838107026,26.0649471282959,80298400,0.41914306658754086,0.06823254899802578,0.26,XLF,2030397,17947,114656,842
2020-06-09,25.450855502561502,25.733533506410968,25.26565151846842,25.509340286254883,92833100,0.46788198794254754,0.05848478369338039,0.23,XLF,2049977,19580,115524,868
2020-06-10,25.363125634225888,25.49959073975623,24.534583509511048,24.554079055786133,110848900,0.9650072302451811,-0.8090465784397551,-3.19,XLF,2074594,24617,116358,834
2020-06-11,23.394121160429957,23.745033572779676,22.50709421516614,22.546083450317383,233116600,1.2379393576135342,-0.8480377101125747,-3.63,XLF,2099158,24564,117188,830
2020-06-12,23.452605842125195,23.452605842125195,22.633811456287614,23.228412628173828,127502900,0.818794385837581,-0.2241932139513665,-0.96,XLF,2128659,29501,117917,729
2020-06-15,22.429113346246602,23.628061580676526,22.380374479482583,23.550081253051758,92469500,1.247687101193943,1.1209679068051557,5.0,XLF,2196531,21432,119658,601
2020-06-16,24.485846177624897,24.485846177624897,23.345382764454992,23.920488357543945,108121300,1.140463413169904,-0.5653578200809513,-2.31,XLF,2223667,27136,120374,716
2020-06-17,23.98872245592841,23.98872245592841,23.52083861736834,23.559829711914062,56320900,0.4678838385600699,-0.4288927440143482,-1.79,XLF,2253265,29598,121052,678
2020-06-18,23.325888575194245,23.754781316504996,23.257656019367065,23.53058624267578,61206500,0.49712529713793074,0.20469766748153617,0.88,XLF,2285529,32264,121688,636
2020-06-19,23.978971208494244,23.98871898071853,23.111438072507347,23.374622344970703,99903900,0.8772809082111834,-0.6043488635235406,-2.52,XLF,2321560,36031,122382,694
2020-06-22,23.22944308325206,23.42563657872457,23.08229749388326,23.25887107849121,47929500,0.34333908484131115,0.02942799523914985,0.13,XLF,2417286,29512,123941,583
2020-06-23,23.612020679063818,23.759166260264223,23.347157510268538,23.366777420043945,47218900,0.41200874999568526,-0.24524325901987254,-1.04,XLF,2456952,39666,124719,778
2020-06-24,23.0626753017878,23.07248525624973,22.474091131474363,22.54275894165039,90217500,0.5983941247753677,-0.5199163601374082,-2.25,XLF,2498086,41134,125421,702
2020-06-25,22.464283289844783,23.190203148785184,22.425045339364107,23.141155242919922,110208900,0.7651578094210763,0.676871953075139,3.01,XLF,2550986,52900,127917,672
2020-06-26,22.748765715003092,22.81743352962169,22.091513691991675,22.150371551513672,123959100,0.7259198376300162,-0.5983941634894201,-2.63,XLF,2603439,52453,128604,687
2020-06-29,22.385804669010817,22.542760207097498,22.199419265886284,22.395614624023438,69107100,0.3433409412112134,0.009809955012620719,0.04,XLF,2733048,39218,130210,537
2020-06-30,22.277895970543497,22.856670191232244,22.258277932513167,22.69971466064453,60653100,0.5983922587190769,0.4218186901010341,1.89,XLF,2780958,47910,130914,704
2020-07-01,22.797814047113274,22.90572168414262,22.434855057018,22.503522872924805,60500300,0.470866627124618,-0.2942911741884693,-1.29,XLF,2843193,62235,131702,788
2020-07-02,23.003819863345196,23.0822976362297,22.48390344857429,22.53295135498047,50841900,0.598394187655412,-0.4708685083647275,-2.05,XLF,2902657,59464,132414,712
