Submission Date,Open,High,Low,Close,Volume,Amplitude,Daily Change,Daily Change %,Ticker,Total Cases,Daily New Cases,Total Deaths,Daily New Deaths
2020-04-14,47.16981019793314,47.89900538255045,46.882490559888915,47.576019287109375,5554200,1.0165148226615344,0.40620908917623666,0.86,XLC,647647,25488,31912,2521
2020-04-15,46.743786797988996,47.52648357897175,46.54563518794649,47.13018035888672,1969100,0.9808483910252619,0.3863935608977229,0.83,XLC,673316,25669,34604,2692
2020-04-16,47.47694476341779,47.47694476341779,46.6447147705262,47.318424224853516,2475600,0.832229992891591,-0.15852053856427517,-0.33,XLC,704834,31518,37039,2435
2020-04-17,48.15065190781246,48.15065190781246,47.31841824074133,47.96240997314453,3348400,0.8322336670711294,-0.1882419346679285,-0.39,XLC,735111,30277,39357,2318
2020-04-20,47.5165795974411,48.11103449859882,47.35805904635132,47.5264892578125,1948500,0.7529754522474974,0.009909660371398843,0.02,XLC,816776,26252,45456,2156
2020-04-21,46.912211956918675,46.99741915005779,45.6935846899328,46.03044128417969,4167700,1.303834460124989,-0.8817706727389876,-1.88,XLC,841866,25090,48073,2617
2020-04-22,47.2391689589907,47.61565668018193,46.79332873382057,47.268890380859375,2151700,0.8223279463613551,0.029721421868671882,0.06,XLC,873079,31213,50322,2249
2020-04-23,47.496763636346614,48.18038657766468,47.33824308665785,47.60574722290039,2486900,0.84214349100683,0.10898358655377649,0.23,XLC,905137,32058,52283,1961
2020-04-24,47.506671223661066,48.23982731669458,47.060831016044546,48.210105895996094,2693000,1.1789963006500344,0.7034346723350282,1.48,XLC,938891,33754,54386,2103
2020-04-27,48.68566936489291,48.84418991365751,48.46275114237106,48.60641098022461,2022300,0.3814387712864473,-0.07925838466830015,-0.16,XLC,1024179,24135,59389,1578
2020-04-28,49.101783898925454,49.101783898925454,47.64537388540554,47.724632263183594,2583000,1.456410013519914,-1.3771516357418605,-2.8,XLC,1047590,23411,61527,2138
2020-04-29,49.43863765703224,50.488834723448704,49.339559966238966,50.03308868408203,3551600,1.1492747572097386,0.5944510270497929,1.2,XLC,1076422,28832,63916,2389
2020-04-30,50.06281308431787,50.37985415489053,49.391084064027346,49.81512451171875,3663100,0.9887700908631842,-0.2476885725991167,-0.49,XLC,1108355,31933,66148,2232
2020-05-01,49.290027525371045,49.84485130635114,48.71241757416371,49.12160110473633,2793500,1.1324337321874296,-0.16842642063471658,-0.34,XLC,1138334,29979,68036,1888
2020-05-04,48.814465398053756,49.47826897286348,48.546961280324716,49.40891647338867,3721800,0.9313076925387662,0.5944510753349164,1.22,XLC,1215689,21140,72399,1341
2020-05-05,49.81512623137482,50.23124501300848,49.5674376502253,49.6665153503418,2261500,0.6638073627831815,-0.14861088103302222,-0.3,XLC,1239190,23501,74842,2443
2020-05-06,50.07271939576795,50.161887427118835,49.50798979035479,49.52780532836914,2486000,0.653897636764043,-0.5449140673988069,-1.09,XLC,1263610,24420,77136,2294
2020-05-07,50.260962469528955,50.64735602094107,50.09253606175548,50.45911407470703,3207200,0.5548199591855862,0.19815160517807584,0.39,XLC,1295293,31683,79237,2101
2020-05-08,51.07338466579221,51.44987236729558,50.776159124364426,51.38051986694336,4640700,0.6737132429311572,0.3071352011511479,0.6,XLC,1324233,28940,80876,1639
2020-05-11,51.06347389012501,51.766908485933484,50.94854528080457,51.41023635864258,2269700,0.818363205128918,0.34676246851756787,0.68,XLC,1390738,19340,84623,1154
2020-05-12,51.5687648589378,51.65793290454977,50.39967438510437,50.409584045410156,13806400,1.2582585194453983,-1.159180813527641,-2.25,XLC,1415367,24629,86165,1542
2020-05-13,50.379852595314034,50.518561366394884,48.87390944642624,49.5476188659668,4338800,1.644651919968645,-0.8322337293472373,-1.65,XLC,1438947,23580,87813,1648
2020-05-14,49.131506916623934,50.082630157470696,48.604424136455094,50.0826301574707,3219800,1.4782060210156018,0.9511232408467691,1.94,XLC,1468752,29805,89593,1780
2020-05-15,49.67641951218134,50.77615737915039,49.428730939600115,50.77615737915039,3938600,1.3474264395502757,1.0997378669690505,2.21,XLC,1496452,27700,91104,1511
2020-05-18,51.340885542779446,52.1235823166436,51.192270891742304,51.84617233276367,2852300,0.9313114249012955,0.5052867899842255,0.98,XLC,1566889,25156,94303,1041
2020-05-19,51.77681513402732,52.440622442880596,51.59848284716156,51.83626174926758,5526800,0.8421395957190327,0.05944661524025463,0.11,XLC,1588286,21397,95511,1208
2020-05-20,52.58923857883917,53.40165677963239,52.549607500891305,53.272857666015625,4532500,0.8520492787410845,0.6836190871764529,1.3,XLC,1613695,25409,96817,1306
2020-05-21,53.50073064421586,53.67906671538412,52.83692709664435,52.89636993408203,4016100,0.8421396187397647,-0.6043607101338253,-1.13,XLC,1640915,27220,97895,1078
2020-05-22,52.876556620963996,53.30258127786305,52.5991466227703,53.21341323852539,3870900,0.7034346550927495,0.33685661756139496,0.64,XLC,1667275,26360,99699,1804
2020-05-26,54.233891040694985,54.28342799889216,53.28276405794201,53.36202621459961,3651100,1.0006639409501474,-0.8718648260953756,-1.61,XLC,1743814,15949,103097,903
2020-05-27,53.40165354851611,53.73851013183594,52.40594450703101,53.73851013183594,5946600,1.3325656248049285,0.33685658331982893,0.63,XLC,1765740,21926,104412,1315
2020-05-28,53.272861671748146,54.095185814147335,53.10443146751879,53.23323059082031,4074500,0.9907543466285418,-0.039631080927833295,-0.07,XLC,1791652,25912,105573,1161
2020-05-29,53.203504896371456,53.66915683187332,52.65363597580552,53.520545959472656,6113400,1.015520856067802,0.3170410631012004,0.6,XLC,1816498,24846,106578,1005
2020-06-01,53.39174947913949,54.214077375461784,53.292675559320614,54.13481521606445,6930100,0.9214018161411701,0.7430657369249616,1.39,XLC,1877897,16987,108899,730
2020-06-02,54.19425885777117,54.37259492718825,53.570082614811376,54.352779388427734,3468600,0.8025123123768765,0.1585205306565669,0.29,XLC,1899218,21321,109826,927
